id,JudulSkripsi,NamaPeneliti,Tahun,ProgramStudi
1,Alat Pendeteksi Kebocoran Gas Lpg Berbasis Arduino Uno Dengan Sms (Short Message Service) Sebagai Notifikasi,Adesta Tito Suwandhita,2018,Teknik Informatika
2,Sistem Pendukung Keputusan Penilaian Kinerja Pegawai Honorer Menggunakan Metode Weighted Product (Wp) Pada : Kantor Kelurahan Loa Bakung Samarinda,Muhammad Faizal Rusbian,2018,Sistem Informasi
3,Membangun Pengenalan Hewan Augmented Reality Berbasis Android Menggunakan Vuforia,Zulfikar Fitri Istyanto,2018,Teknik Informatika
4,Alat Penyiram Tanaman Otomatis Menggunakan Arduino Uno Dengan Kendali Sms,Aris Prasetyo,2018,Teknik Informatika
5,Desain Dan Implementasi E-Learning Pada Lkp Active English Course Tenggarong Berbasis Web,Riski apriliansyah,2020,Sistem Informasi
6,Sistem Pendukung Keputusan Penyeleksian Calon Karyawan Bagian Operator Alat Berat Pada Pt> Pama Persada Nusantara Menggunakan Metode Mfep Berbasis Web,I Komang Ari Wijaya Saputra,2019,Teknik Informatika
7,Sistem Informasi Reservasi Kamar Berbasis Website Pada Homestay Dewantara 11 Samarinda,Rifqi,2019,Sistem Informasi
8,Sistem Pendukung Keputusan Penentuan Penerimaan Beasiswa Perusahaan Pt.Pkn Dengan Metode Smart Bagi Siswa Smp Negeri 3 Tanjung Selor Berbasis Web,Yosia Kelso,2019,Sistem Informasi
9,Decision Support System Pemilihan Siswa Untuk Mengikuti Olimpiade Sains Biologi Dengan Metode Simple Multi Attribute Rating Technique (Smart) Pada Sma Negeri 5 Samarinda,Dewi Anggraini Nopiasih,2019,Sistem Informasi
10,Sistem Informasi Reservasi Dan Pariwisata Pada Taman Wisata Graha Mangrove Bontang Kaltim Berbasis Website,Muhammad Arfin Aprianto,2019,Sistem Informasi
11,Sistem Informasi Monitoring Kehadiran Pegawai Pada Seksi Pengendalian Dan Ketertiban Dinas Perhubungan Kota Samarinda Berbasis Online,Dean Swarna Dwipa,2019,Teknik Informatika
12,Implementasi Pengenalan Pola Tanda Tangan Menggunakan Jaringan Syaraf Tiruan Learning Vector Quantization (Lvq),M. Irwan Ukkas,2019,Sistem Informasi
13,Sistem Pendukung Keputusan Penerimaan Teller Pada Bank Bri Menggunkan Metode Smarter Berbasis Web,Muhammad Suriansyah,2019,Sistem Informasi
14,Membangun Game Jojo Adventure Platform Berbasis Android,Rasim Delik,2019,Sistem Informasi
15,Sistem Informasi Pemesanan Jasa Percetakan Pada Cv.Semoga Sukses Samarinda Berbasis Web,Sefty Wijayanti,2019,Sistem Informasi
16,Membangun E-Commerce Oleh-Oleh Khas Kota Samarinda Studi Kasus Pada Umkm Kios Andi 89,Ekawati Yulsilviana,2019,Sistem Informasi
17,Aplikasi Pembelajaran Rambu-Rambu Lalu Lintas Berbasis Multimedia,Irawan Satriawan Wibowo,2018,Manajemen Informatika
18,Membangun Aplikasi Pengenalan Huruf Alfabet Dengan Augmented Reality Pada Lembaga Kursusdan Pelatihan Edu Global Samarinda,Basrie,2018,Manajemen Informatika
19,Aplikasi Surat Masuk Dan Surat Keluar Pada Smk Negeri 5 Samarinda Berbasis Website,Hariyanti,2018,Manajemen Informatika
20,Membangun Website Pada Smpn 5 Sangkulirang,Nor Maria,2018,Manajemen Informatika
21,"Membangun Aplikasi Pembelajaran Pengenalan Perangkat Keras Komputer Dengan Augmented Reality (Studi Kasus: Smk Bhakti Loa Janan, Kutai Kartanegara)",Salmon,2018,Manajemen Informatika
22,Membangun Aplikasi Pengenalan Hewan Dengan Augmented Reality Pada Sd Negeri 009 Loa Janan Ilir,Ahmad Nafarin,2018,Manajemen Informatika
23,Aplikasi Pemasaran Perumahan Pada Kantor Mahakam Grande Berbasis Web,Rizky Amalia,2018,Manajemen Informatika
24,Game Edukasi Drag And Drop Budaya Nusantara Untuk Siswa Sekolah Dasar,Muhammad Eko Wahyu Setiawan,2018,Manajemen Informatika
25,Membangun Website Pada Toko Borgol Samarinda,Tamiruddin,2018,Manajemen Informatika
26,Aplikasi Pendaftaran Siswa Baru Pada Sd Islam Al-Azhar 47 Samarinda Berbasis Web,Ismail Usri,2018,Manajemen Informatika
27,Membangun Proxy Server Dan Manajemen Bandwidth Pada Jaringan Komputer Dengan Winbox Menggunakan Router Mikrotik,Jumar Wanto,2018,Teknik Informatika
28,Sistem Pendukung Keputusan Pemilihan Bahan Baku Ayam Terbaik Untuk Usaha Rumah Makan Ibu Nur Menggunakan Metode Perbandingan Eksponensial (Mpe) Berbasis Visual,Muhammad Aenur Rochim,2018,Teknik Informatika
29,Perbandingan Implementasi Metode Naïve Bayes Dan C4.5 Dalam Pengklasifikasian Gaya Belajar Siswa Pada Sd Muhammadiyah 4 Terpadu,Gustaf Dwi Prie Anugrah,2018,Teknik Informatika
30,Membangun Policy-Based Routing Pada Jaringan Vpn Dan Astinet Menggunakan Mikrotik (Studi Kasus : Balai Besar Pengawas Obat Dan Makanan Kota Samarinda),Rahmansyah,2018,Teknik Informatika
31,Membangun Pengenalan Hewan Augmented Reality Berbasis Android Menggunakan Vuforia,Zulfikar Fitri Istyanto,2018,Teknik Informatika
32,Implementasi Skala Likert Seleksi Karyawan Baru Dengan Metode Fuzzy Tsukamoto Berbasis Web (Studi Kasus Pada Pt Telkom Akses Area Samarinda),Tendi Riandi,2018,Teknik Informatika
33,Implementasi Simple Additive Weighting (Saw) Untuk Menentukan Kenaikan Gaji Guru Honorer Pada Sdn 011 Tenggarong Seberang Berbasis Vb.Net,I Wayan Andi Saputra Dayana,2018,Teknik Informatika
34,Penerapan Metode Promethee Dalam Menentukan Pegawai Teladan Pada Pt.Telkom Akses,Taufikkuridho,2018,Teknik Informatika
35,Sistem Informasi Pengelolaan Media Pembelajaran Berbasis Intranet Pada Smp Negeri 7 Samarinda,Dewi Sulistyowati,2018,Teknik Informatika
36,Sistem Pendukung Keputusan Pemilihan Karyawan Berprestasi Pada Pt. Pelindo Iv (Persero) Cabang Samarinda Menggunakan Metode Analytical Hierarchy Process (Ahp),Joana Mandasari,2018,Teknik Informatika
37,Membangun Website Karya Jurusan Multimedia Pada Sekolah Menengah Kejuruan Teknologi Informasi Airlangga Samarinda,M. Irwan Ukkas,2017,Teknik Informatika
38,Sistem Pendeteksi Peringatan Dini Keamanan Rumah Berbasis Mikrokontroler Atmega 16 Dan Sms Gateway,Muhamad Pratama Idipasi,2017,Teknik Informatika
39,Sistem Pendukung Keputusan Pengajuan Kartu Kredit Pada Bank Bni Menggunakan Metode Analytical Hierarchy Process,Bagus Harjanto,2017,Teknik Informatika
40,Penerapan Metode Perbandingan Eksponensial Dengan Skala Likert Dalam Pengembangan Sistem Pendukung Keputusan Pemilihan Berita Terbaik,Ade Himawan,2017,Teknik Informatika
41,Aplikasi Pemilihan Handphone Pada Parindo Celluler Dengan Metode Fuzzy Multi Criteria Decision Making,Surya Adi Nugraha,2017,Teknik Informatika
42,Implementasi Absensi Siswa Berbasis Sms Gateway Pada Smk Muhammadiyah 1 Samarinda,Reza Jakaria Rahmanto,2017,Teknik Informatika
43,Sistem Pakar Diagnosa Kerusakan Tv Tipe Lcd Menggunakan Metode Forward Chaining Pada Alna Elektronik,Wardana Gustiansyah,2017,Teknik Informatika
44,Penerapan Spk Decission Tree Menggunakan Algoritma C4.5 Pada Pt.Beringin,SAID ALWI,2017,Teknik Informatika
45,Sistem Informasi Pengolahan Data Masyarakat Pedalaman Khususnya Dayak Aoheng Kalimantan Timur Pada Dewan Pimpinan Pusat Kerukunan Keluarga Aoheng Kalimantan Timur (Dpp-Kka-Kaltim) Di Samarinda,Anthony Dewa Ladjar,2017,Teknik Informatika
46,Pengembangan Sistem Pengolahan Data Gaji Karyawan Pada Cv. Borneo Mandiri Jaya Berbasis Client Server,Agus Haryadi,2017,Teknik Informatika
47,"Sistem Informasi Penjualan Suku Cadang Sepeda Motor
Pada Cv. Irwan Jaya Motor Berbasis Website",Robby Hanggara,2017,Sistem Informasi
48,Sistem Informasi Penjualan Pada Pt.Surya Madistrindo Menggunakan Sistem Barcode,Era Nagara,2017,Sistem Informasi
49,Sistem Informasi Cuti Pegawai Berbasis Web Pada Badan Pusat Statistik Provinsi Kalimantan Timur,Mahdalena,2017,Sistem Informasi
50,Sistem Pendukung Keputusan Dalam Menentukan Pembelian Jenis Mobil Merk Mitsubishi Pada Pt. Mahakam Berlian Samjaya Samarinda Dengan Menggunakan Metode Simple Additive Weighting,Fitrian Ramadhany,2017,Sistem Informasi
51,Sistem Informasi Surat Perintah Perjalanan Dinas Berbasis Web Pada Uptd Balai Latihan Kerja Balikpapan,Hudais Tri Putra,2017,Sistem Informasi
52,Sistem Informasi Kependudukan Pada Biro Peerintahan Umum Setda Prov. Kaltim Berbasis Web (Studi Kasus: Biro Pemerintahan Umum Setda Prov. Kaltim),Junaidi Arbie,2017,Sistem Informasi
53,Sistem Informasi Pengajuan Cuti Karyawan Pada Pt. Danny Samudera Raya Line Samarinda Berbasis Website,Tommy Limarsaputra,2017,Sistem Informasi
54,Aplkasi Kamus Komputer Dan Informatika Berbasis Android,Michrendy,2017,Sistem Informasi
55,Media Pembelajaran Pengenalan Objek Gambar Untuk Anak Berbasis Multimedia,Mikael Theo,2017,Sistem Informasi
56,Sistem Informasi Barang Gudang Pada Pt. Intiboga Mandiri Samarinda,M.Arsyad Efendi,2017,Sistem Informasi
57,Membangun Aplikasi Pendaftaran Siswa Baru Pada Smk Negeri 5 Samarinda Berbasis Website,Alan Rezki Maulana,2017,Manajemen Informatika
58,Sistem Informasi Pengolahan Data Nilai Siswa Pada Smk Negeri 4 Samarinda Menggunakan Visual Basic,Muhammad Ridho Wahyudi,2017,Manajemen Informatika
59,Membangun Aplikasi Pengolahan Data Nilai Berbasis Web Pada Smk Negeri 15 Samarinda,Billy Ishak Sonneng,2017,Manajemen Informatika
60,Membangun Website Pada Tk Mayang Mekar Tenggarong Seberang,Lencau Arung,2017,Manajemen Informatika
61,Aplikasi Pembelajaran Siswa Siswi Taman Kanak – Kanak Pada Raudhatul Athfal Al – Falah Berbasis Multimedia,Muhammad Riduan,2017,Manajemen Informatika
62,Aplikasi Pengolahan Data Sparepart Pada Pt Kaltim Prima Utama Coal,Muhammad Salman,2017,Manajemen Informatika
63,Aplikasi Monitoring Bukti Potong Pph Pasal 15 Pada Pt. Pelayaran Duta Lintas Samudera,Wiwik Jayanti,2017,Manajemen Informatika
64,Aplikasi Kebugaran Tubuh Berbasis Multimedia,Muhammad Yasin,2017,Manajemen Informatika
65,Sistem Informasi Data Kepegawaian Pada Kantor Desa Loa Duri Ulu Berbasis Visual Basic 6.0,Arya Sanjaya Lantang,2017,Manajemen Informatika
66,Aplikasi Pengolahan Data Service Handphone Pada Orange Phone Samarinda,Nurika Dwi Lestari,2017,Manajemen Informatika
